raw_code,calibrated_voltage,is_active
0,0.0,True
1,0.012048192771084338,True
2,0.012048192771084338,False
3,0.024096385542168676,True
4,0.03614457831325302,True
5,0.03614457831325302,False
6,0.04819277108433735,True
7,0.060240963855421686,True
8,0.07228915662650603,True
9,0.07228915662650603,False
10,0.08433734939759037,False
11,0.08433734939759037,True
12,0.0963855421686747,True
13,0.10843373493975904,True
14,0.10843373493975904,False
15,0.12048192771084337,True
16,0.13253012048192772,True
17,0.14457831325301207,True
18,0.14457831325301207,False
19,0.1566265060240964,True
20,0.16867469879518074,True
21,0.16867469879518074,False
22,0.18072289156626506,True
23,0.18072289156626506,False
24,0.1927710843373494,False
25,0.1927710843373494,True
26,0.1927710843373494,False
27,0.20481927710843376,True
28,0.21686746987951808,True
29,0.21686746987951808,False
30,0.22891566265060243,True
31,0.24096385542168675,True
32,0.2530120481927711,True
33,0.26506024096385544,True
34,0.27710843373493976,True
35,0.27710843373493976,False
36,0.27710843373493976,False
37,0.28915662650602414,False
38,0.28915662650602414,True
39,0.30120481927710846,True
40,0.30120481927710846,False
41,0.3132530120481928,True
42,0.3132530120481928,False
43,0.3253012048192771,False
44,0.3253012048192771,True
45,0.3253012048192771,False
46,0.3373493975903615,True
47,0.3493975903614458,True
48,0.3614457831325301,True
49,0.3734939759036145,True
50,0.3855421686746988,True
51,0.3855421686746988,False
52,0.39759036144578314,True
53,0.4096385542168675,True
54,0.42168674698795183,True
55,0.42168674698795183,False
56,0.43373493975903615,True
57,0.43373493975903615,False
58,0.44578313253012053,True
59,0.45783132530120485,True
60,0.46987951807228917,True
61,0.4819277108433735,True
62,0.4819277108433735,False
63,0.49397590361445787,True
64,0.5060240963855422,True
65,0.5180722891566265,True
66,0.5180722891566265,False
67,0.5301204819277109,False
68,0.5301204819277109,True
69,0.5421686746987953,True
70,0.5542168674698795,True
71,0.5542168674698795,False
72,0.5662650602409639,True
73,0.5783132530120483,True
74,0.5903614457831325,True
75,0.5903614457831325,False
76,0.6024096385542169,True
77,0.6144578313253012,True
78,0.6144578313253012,False
79,0.6265060240963856,True
80,0.6265060240963856,False
81,0.6385542168674699,True
82,0.6506024096385542,True
83,0.6626506024096386,True
84,0.6626506024096386,False
85,0.674698795180723,True
86,0.6867469879518072,True
87,0.6867469879518072,False
88,0.6987951807228916,True
89,0.710843373493976,True
90,0.7228915662650602,True
91,0.7349397590361446,True
92,0.746987951807229,True
93,0.7590361445783133,True
94,0.7590361445783133,False
95,0.7710843373493976,False
96,0.7710843373493976,True
97,0.7710843373493976,False
98,0.783132530120482,True
99,0.783132530120482,False
100,0.7951807228915663,False
101,0.7951807228915663,True
102,0.8072289156626506,True
103,0.8072289156626506,False
104,0.819277108433735,True
105,0.8313253012048193,True
106,0.8313253012048193,False
107,0.8433734939759037,True
108,0.8433734939759037,False
109,0.855421686746988,True
110,0.855421686746988,False
111,0.8674698795180723,False
112,0.8674698795180723,True
113,0.8795180722891567,True
114,0.8915662650602411,True
115,0.9036144578313253,True
116,0.9036144578313253,False
117,0.9156626506024097,True
118,0.9156626506024097,False
119,0.9277108433734941,True
120,0.9277108433734941,False
121,0.9397590361445783,True
122,0.9397590361445783,False
123,0.9518072289156627,True
124,0.9518072289156627,False
125,0.963855421686747,True
126,0.963855421686747,False
127,0.9759036144578314,True
128,0.9879518072289157,True
129,0.9879518072289157,False
130,1.0,True
131,1.0,False
132,1.0120481927710845,False
133,1.0120481927710845,True
134,1.0120481927710845,False
135,1.0240963855421688,False
136,1.0240963855421688,True
137,1.036144578313253,True
138,1.0481927710843375,True
139,1.0602409638554218,True
140,1.072289156626506,True
141,1.072289156626506,False
142,1.0843373493975905,True
143,1.0963855421686748,True
144,1.108433734939759,True
145,1.1204819277108435,True
146,1.1204819277108435,False
147,1.1325301204819278,True
148,1.144578313253012,True
149,1.1566265060240966,True
150,1.1686746987951808,True
151,1.180722891566265,True
152,1.1927710843373494,True
153,1.2048192771084338,True
154,1.216867469879518,True
155,1.2289156626506024,True
156,1.2409638554216869,True
157,1.2409638554216869,False
158,1.2530120481927711,True
159,1.2650602409638554,True
160,1.2771084337349399,True
161,1.2891566265060241,True
162,1.3012048192771084,True
163,1.3012048192771084,False
164,1.313253012048193,True
165,1.313253012048193,False
166,1.3253012048192772,True
167,1.3253012048192772,False
168,1.3373493975903614,True
169,1.349397590361446,True
170,1.3614457831325302,True
171,1.3614457831325302,False
172,1.3734939759036144,True
173,1.385542168674699,True
174,1.3975903614457832,True
175,1.4096385542168675,True
176,1.4096385542168675,False
177,1.421686746987952,True
178,1.4337349397590362,True
179,1.4457831325301205,True
180,1.4457831325301205,False
181,1.457831325301205,True
182,1.4698795180722892,True
183,1.4698795180722892,False
184,1.4819277108433735,True
185,1.4819277108433735,False
186,1.493975903614458,True
187,1.493975903614458,False
188,1.5060240963855422,True
189,1.5180722891566265,True
190,1.5180722891566265,False
191,1.530120481927711,True
192,1.530120481927711,False
193,1.5421686746987953,True
194,1.5421686746987953,False
195,1.5542168674698795,True
196,1.566265060240964,True
197,1.5783132530120483,True
198,1.5783132530120483,False
199,1.5903614457831325,True
200,1.5903614457831325,False
201,1.602409638554217,True
202,1.602409638554217,False
203,1.6144578313253013,True
204,1.6144578313253013,False
205,1.6265060240963856,True
206,1.6265060240963856,False
207,1.63855421686747,True
208,1.6506024096385543,True
209,1.6626506024096386,True
210,1.6626506024096386,False
211,1.674698795180723,False
212,1.674698795180723,True
213,1.674698795180723,False
214,1.6867469879518073,True
215,1.6987951807228916,True
216,1.6987951807228916,False
217,1.710843373493976,True
218,1.7228915662650603,True
219,1.7349397590361446,True
220,1.746987951807229,True
221,1.746987951807229,False
222,1.7590361445783134,True
223,1.7710843373493976,True
224,1.7831325301204821,True
225,1.7831325301204821,False
226,1.7951807228915664,True
227,1.8072289156626506,True
228,1.8072289156626506,False
229,1.8192771084337351,False
230,1.8192771084337351,True
231,1.8192771084337351,False
232,1.8313253012048194,False
233,1.8313253012048194,True
234,1.8433734939759037,True
235,1.8554216867469882,True
236,1.8674698795180724,True
237,1.8795180722891567,True
238,1.8795180722891567,False
239,1.8915662650602412,False
240,1.8915662650602412,True
241,1.9036144578313254,True
242,1.9156626506024097,True
243,1.927710843373494,True
244,1.9397590361445785,True
245,1.9518072289156627,True
246,1.9518072289156627,False
247,1.963855421686747,True
248,1.9759036144578315,True
249,1.9879518072289157,True
250,1.9879518072289157,False
251,1.9879518072289157,False
252,1.9879518072289157,False
253,2.0,False
254,2.0,False
255,2.0,True
